Team,Number,Player,Position
Genoa,1.0,Josep Martínez,P
Genoa,16.0,Nicola Leali,P
Genoa,39.0,Daniele Sommariva,P
Genoa,,Franz Stolz,P
Genoa,36.0,Silvan Hefti,D
Genoa,13.0,Mattia Bani,D
Genoa,14.0,Alessandro Vogliacco,D
Genoa,5.0,Radu Drăgușin,D
Genoa,4.0,Koni De Winter,D
Genoa,23.0,Davide Biraschi,D
Genoa,6.0,Giorgio Cittadini,D
Genoa,22.0,Johan Vásquez,D
Genoa,33.0,Alan Matturro,D
Genoa,20.0,Stefano Sabelli,D
Genoa,90.0,Djed Spence,D
Genoa,3.0,Aarón Martín,D
Genoa,15.0,Ridgeciano Haps,D
Genoa,47.0,Milan Badelj,C
Genoa,8.0,Kevin Strootman,C
Genoa,32.0,Morten Frendrup,C
Genoa,2.0,Morten Thorsby,C
Genoa,5.0,Emil Bohinen,C
Genoa,17.0,Ruslan Malinovskyi,C
Genoa,41.0,Christos Papadopoulos,C
Genoa,24.0,Filip Jagiełło,C
Genoa,25.0,Berkan Kutlu,C
Genoa,99.0,Pablo Galdames,C
Genoa,10.0,Junior Messias,A
Genoa,9.0,Massimo Coda,A
Genoa,11.0,Albert Guðmundsson,A
Genoa,18.0,Caleb Ekuban,A
Genoa,19.0,Mateo Retegui,A
Genoa,30.0,David Ankeye,A
Genoa,37.0,George Pușcaș,A
Genoa,40.0,Seydou Fini,A
Genoa,9.0,Vitinha,A
