Team,Number,Player,Position
Inter,1,Yann Sommer,P
Inter,2,Denzel Dumfries,D
Inter,5,Stefano Sensi,C
Inter,6,Stefan de Vrij,D
Inter,7,Juan Cuadrado,C
Inter,8,Marko Arnautović,A
Inter,9,Marcus Thuram,A
Inter,10,Lautaro Martínez,A
Inter,11,Joaquín Correa,A
Inter,12,Raffaele Di Gennaro,P
Inter,14,Davy Klaassen,C
Inter,15,Francesco Acerbi,D
Inter,16,Davide Frattesi,C
Inter,17,Tajon Buchanan,C
Inter,20,Hakan Çalhanoğlu,C
Inter,21,Kristjan Asllani,C
Inter,22,Henrix Mxit'aryan,C
Inter,23,Nicolò Barella,C
Inter,28,Benjamin Pavard,D
Inter,30,Carlos Augusto,D
Inter,31,Yann Aurel Bisseck,D
Inter,32,Federico Dimarco,D
Inter,36,Matteo Darmian,D
Inter,41,Ebenezer Akinsanmiro,C
Inter,42,Lucien Agoumé,C
Inter,70,Alexis Sánchez,A
Inter,77,Emil Audero,P
Inter,95,Alessandro Bastoni,D
