Team,Number,Player,Position
Juventus,1,Wojciech Szczęsny,P
Juventus,2,Mattia De Sciglio,D
Juventus,3,Bremer,D
Juventus,4,Federico Gatti,D
Juventus,5,Manuel Locatelli,C
Juventus,6,Danilo,D
Juventus,7,Federico Chiesa,A
Juventus,9,Dušan Vlahović,A
Juventus,10,Paul Pogba,C
Juventus,11,Filip Kostić,C
Juventus,12,Alex Sandro,D
Juventus,13,Dean Huijsen,D
Juventus,14,Arkadiusz Milik,A
Juventus,15,Kenan Yıldız,A
Juventus,16,Weston McKennie,C
Juventus,17,Samuel Iling-Junior,A
Juventus,18,Moise Kean,A
Juventus,20,Fabio Miretti,C
Juventus,21,Nicolò Fagioli,C
Juventus,22,Timothy Weah,C
Juventus,23,Carlo Pinsoglio,P
Juventus,24,Daniele Rugani,D
Juventus,25,Adrien Rabiot,C
Juventus,26,Carlos Alcaraz,C
Juventus,27,Andrea Cambiaso,D
Juventus,33,Tiago Djaló,D
Juventus,36,Mattia Perin,P
Juventus,39,Nikola Sekulov,C
Juventus,41,Hans Nicolussi Caviglia,C
Juventus,45,Leonardo Cerri,A
Juventus,47,Joseph Nonge Boende,C
