Team,Number,Player,Position
Fiorentina,1,Pietro Terracciano,P
Fiorentina,2,Dodô,D
Fiorentina,3,Cristiano Biraghi,D
Fiorentina,4,Nikola Milenković,D
Fiorentina,5,Giacomo Bonaventura,C
Fiorentina,6,Arthur Melo,C
Fiorentina,7,Riccardo Sottil,A
Fiorentina,8,Maxime Lopez,C
Fiorentina,9,Lucas Beltrán,A
Fiorentina,10,Nicolás González,A
Fiorentina,11,Jonathan Ikoné,C
Fiorentina,14,Christian Dalle Mura,D
Fiorentina,16,Luca Ranieri,D
Fiorentina,17,Gaetano Castrovilli,C
Fiorentina,18,M'Bala Nzola,A
Fiorentina,19,Gino Infantino,C
Fiorentina,20,Andrea Belotti,A
Fiorentina,22,Davide Faraoni,D
Fiorentina,28,Lucas Martínez Quarta,D
Fiorentina,30,Tommaso Martinelli,P
Fiorentina,32,Alfred Duncan,C
Fiorentina,33,Michael Kayode,D
Fiorentina,37,Pietro Comuzzo,D
Fiorentina,38,Rolando Mandragora,C
Fiorentina,40,Tommaso Vannucchi,P
Fiorentina,53,Oliver Christensen,P
Fiorentina,65,Fabiano Parisi,D
Fiorentina,70,Niccolò Pierozzi,D
Fiorentina,72,Antonín Barák,C
Fiorentina,73,Lorenzo Amatucci,C
Fiorentina,77,Josip Brekalo,A
Fiorentina,99,Christian Kouamé,A
