Team,Number,Player,Position
Lecce,4.0,Youssef Maleh,C
Lecce,5.0,Marin Pongračić,D
Lecce,6.0,Federico Baschirotto,D
Lecce,7.0,Pontus Almqvist,A
Lecce,8.0,Hamza Rafia,C
Lecce,9.0,Assan Ceesay,A
Lecce,10.0,Nikola Krstović,A
Lecce,11.0,Rémi Oudin,C
Lecce,11.0,Federico Di Francesco,A
Lecce,13.0,Nicola Sansone,A
Lecce,14.0,Lorenzo Venuti,D
Lecce,15.0,Patrick Dorgu,D
Lecce,16.0,Þórir Jóhann Helgason,C
Lecce,16.0,Joan González,C
Lecce,17.0,Valentin Gendrey,D
Lecce,18.0,Medon Berisha,C
Lecce,19.0,Marcin Listkowski,C
Lecce,20.0,Ylber Ramadani,C
Lecce,21.0,Federico Brancolini,P
Lecce,22.0,Lameck Banda,A
Lecce,23.0,Giacomo Faticanti,C
Lecce,24.0,Jeppe Corfitzen,A
Lecce,25.0,Antonino Gallo,D
Lecce,26.0,Zinedin Smajlovic,D
Lecce,27.0,Gabriel Strefezza,C
Lecce,28.0,Cătălin Vulturar,C
Lecce,29.0,Alexis Blin,C
Lecce,30.0,Wladimiro Falcone,P
Lecce,31.0,Joel Voelkerling Persson,A
Lecce,40.0,Jasper Samooja,P
Lecce,45.0,Rareș Burnete,A
Lecce,50.0,Santiago Pierotti,A
Lecce,55.0,Kastriot Dermaku,D
Lecce,59.0,Ahmed Touba,D
Lecce,70.0,Antonino Viola,C
Lecce,77.0,Mohamed Kaba,C
Lecce,83.0,Mats Lemmens,D
Lecce,83.0,Daniel Samek,C
Lecce,91.0,Roberto Piccoli,A
Lecce,98.0,Alexandru Borbei,P
Lecce,,Till Winkelman,A
